Observationsstation,År,Månad,Dag,Tid [Lokal tid],Daggpunktstemperatur medelvärde [°C],Lufttemperatur medelvärde [°C],Molnighet [1/8],Lufttryck medelvärde [hPa],Relativ luftfuktighet medelvärde [%],Nederbördsmängd medelvärde [mm],Snödjup medelvärde [cm],Vindriktning medelvärde [°],Byvindshastighet medelvärde [m/s],Vindhastighet medelvärde [m/s]
Helsingfors Kajsaniemi,2024,1,4,11:00,-20.6,-17.9,Mulet (8/8),1013.3,79.0,0.0,22.4,47.5,10.2,6.4
Helsingfors Kajsaniemi,2024,1,4,12:00,-20.7,-17.9,Mulet (8/8),1013.3,79.0,0.0,21.8,46.9,9,5.2
Helsingfors Kajsaniemi,2024,1,4,13:00,-20.2,-17.5,Mulet (8/8),1013.0,79.7,0.0,22.3,46.9,8.5,5
Helsingfors Kajsaniemi,2024,1,4,14:00,-19.4,-16.7,Mulet (8/8),1012.8,80.0,0.0,-,50.8,9.6,6
Helsingfors Kajsaniemi,2024,1,4,15:00,-18.8,-16.2,Mulet (8/8),1012.8,80.6,0.0,-,47.4,9.2,5.9
Helsingfors Kajsaniemi,2024,1,4,16:00,-18.3,-15.7,Mulet (8/8),1012.6,80.7,0.0,-,51.9,9.5,5.9
Helsingfors Kajsaniemi,2024,1,4,17:00,-18.3,-15.6,Mulet (8/8),1012.3,79.7,0.0,21.2,51.7,9.2,5.7
Helsingfors Kajsaniemi,2024,1,4,18:00,-19.4,-16.7,Molnigt (7/8),1012.3,79.9,0.0,22.1,45,9.4,5.5
Helsingfors Kajsaniemi,2024,1,4,19:00,-19.3,-16.7,Mulet (8/8),1012.1,80.2,0.0,24,44.4,10.2,5.5
Helsingfors Kajsaniemi,2024,1,4,20:00,-19.6,-17.0,Mulet (8/8),1012.1,80.0,0.0,-,48.3,9.8,5.7
Helsingfors Kajsaniemi,2024,1,4,21:00,-19.0,-16.5,Mulet (8/8),1012.1,80.9,0.0,-,50.5,9.2,5.4
Helsingfors Kajsaniemi,2024,1,4,22:00,-18.5,-16.0,Mulet (8/8),1012.2,81.3,0.0,21.6,51.8,9.2,5.7
Helsingfors Kajsaniemi,2024,1,4,23:00,-18.1,-15.6,Molnigt (7/8),1012.2,81.9,0.0,22.8,55.5,10.5,6.4
Helsingfors Kajsaniemi,2024,1,5,00:00,-18.7,-16.2,Molnigt (7/8),1012.3,81.0,0.0,24,50.9,9,5.6
Helsingfors Kajsaniemi,2024,1,5,01:00,-19.1,-16.5,Mulet (8/8),1012.3,81.0,0.0,24,53.8,9.1,5.3
Helsingfors Kajsaniemi,2024,1,5,02:00,-18.2,-15.8,Mulet (8/8),1012.1,81.1,0.0,23.9,54.7,9.4,5.6
Helsingfors Kajsaniemi,2024,1,5,03:00,-18.2,-15.7,Mulet (8/8),1012.0,80.9,0.0,21.8,49.9,9.4,5.6
Helsingfors Kajsaniemi,2024,1,5,04:00,-18.7,-16.2,Mulet (8/8),1011.7,80.9,0.0,22.4,42.8,8.4,4.7
Helsingfors Kajsaniemi,2024,1,5,05:00,-19.6,-17.0,Mulet (8/8),1011.5,80.7,0.0,22,40.8,8,4.6
Helsingfors Kajsaniemi,2024,1,5,06:00,-18.6,-16.1,Mulet (8/8),1011.0,81.0,0.0,22,39,8.4,4.7
Helsingfors Kajsaniemi,2024,1,5,07:00,-18.8,-16.1,Mulet (8/8),1010.8,80.0,0.0,22,42.4,8.6,5.1
Helsingfors Kajsaniemi,2024,1,5,08:00,-19.1,-16.3,Molnigt (7/8),1010.6,78.8,0.0,23,44.4,9.2,5.6
Helsingfors Kajsaniemi,2024,1,5,09:00,-19.3,-16.4,Mulet (8/8),1010.6,78.9,0.0,-,43.7,8.9,5.4
Helsingfors Kajsaniemi,2024,1,5,10:00,-19.6,-16.6,Molnigt (7/8),1010.6,78.1,0.0,-,44.9,10.1,6.1
Helsingfors Kajsaniemi,2024,1,5,11:00,-19.0,-16.2,Mulet (8/8),1010.4,79.0,0.0,22.3,43.5,9.7,5.5
Helsingfors Kajsaniemi,2024,1,5,12:00,-18.7,-15.9,Molnigt (7/8),1010.1,79.2,0.0,21.8,40.9,9.9,5.7
Helsingfors Kajsaniemi,2024,1,5,13:00,-18.4,-15.5,Mulet (8/8),1009.6,79.0,0.0,23.7,36,9.1,5.3
Helsingfors Kajsaniemi,2024,1,5,14:00,-18.1,-15.4,Mulet (8/8),1009.3,79.3,0.0,24,38.3,8.4,4.9
Helsingfors Kajsaniemi,2024,1,5,15:00,-18.2,-15.5,Mulet (8/8),1009.1,79.8,0.0,24,30.1,8.6,5.2
Helsingfors Kajsaniemi,2024,1,5,16:00,-18.5,-15.7,Mulet (8/8),1009.1,79.8,0.0,24.5,29.6,9.4,5.6
Helsingfors Kajsaniemi,2024,1,5,17:00,-18.6,-15.9,Mulet (8/8),1009.0,79.5,0.03,25.7,28.9,10.5,6.8
Helsingfors Kajsaniemi,2024,1,5,18:00,-18.4,-15.8,Mulet (8/8),1009.1,79.8,0.05,26,29.9,9.6,6
Helsingfors Kajsaniemi,2024,1,5,19:00,-18.6,-15.9,Mulet (8/8),1009.5,79.6,0.05,26,34.7,7.3,4.4
Helsingfors Kajsaniemi,2024,1,5,20:00,-18.5,-15.8,Mulet (8/8),1009.6,80.1,0.07,26,26,8.4,5
Helsingfors Kajsaniemi,2024,1,5,21:00,-18.4,-15.7,Mulet (8/8),1009.8,79.5,0.05,26,24.9,9.5,5.4
Helsingfors Kajsaniemi,2024,1,5,22:00,-18.3,-15.6,Mulet (8/8),1010.1,79.5,0.03,25.6,25.6,9.6,5.6
Helsingfors Kajsaniemi,2024,1,5,23:00,-18.1,-15.4,Mulet (8/8),1010.4,79.4,0.02,26,24.4,9.3,5.8
Helsingfors Kajsaniemi,2024,1,6,00:00,-17.9,-15.2,Mulet (8/8),1010.8,80.0,0.03,-,28.4,9.6,5.9
Helsingfors Kajsaniemi,2024,1,6,01:00,-17.7,-15.0,Mulet (8/8),1011.2,80.0,0.03,-,24.2,8.8,5.1
Helsingfors Kajsaniemi,2024,1,6,02:00,-17.3,-14.8,Mulet (8/8),1011.5,81.0,0.02,26.3,24.8,8.5,5.3
Helsingfors Kajsaniemi,2024,1,6,03:00,-17.0,-14.4,Mulet (8/8),1012.0,81.2,0.03,-,26,8.7,5.6
Helsingfors Kajsaniemi,2024,1,6,04:00,-16.9,-14.3,Mulet (8/8),1012.6,81.0,0.02,-,26,8.7,5.6
Helsingfors Kajsaniemi,2024,1,6,05:00,-16.8,-14.2,Molnigt (7/8),1013.0,80.4,0.0,-,28.7,8,5.2
Helsingfors Kajsaniemi,2024,1,6,06:00,-17.0,-14.4,Molnigt (7/8),1013.7,80.3,0.0,25,26.3,7.7,4.8
Helsingfors Kajsaniemi,2024,1,6,07:00,-17.2,-14.6,Mulet (8/8),1014.5,80.8,0.0,25,25.1,7.8,4.8
Helsingfors Kajsaniemi,2024,1,6,08:00,-16.8,-14.3,Mulet (8/8),1015.4,81.0,0.0,25,27.1,8.3,5
Helsingfors Kajsaniemi,2024,1,6,09:00,-16.5,-13.9,Mulet (8/8),1016.5,81.0,0.0,25,29.8,8.3,5
Helsingfors Kajsaniemi,2024,1,6,10:00,-16.2,-13.5,Molnigt (7/8),1017.5,79.7,0.0,25,38.7,7,4
Helsingfors Kajsaniemi,2024,1,6,11:00,-17.0,-14.1,Klart (1/8),1018.4,79.0,0.0,25,32.6,6.9,4.4
Helsingfors Kajsaniemi,2024,1,6,12:00,-17.2,-14.3,Klart (0/8),1019.4,78.7,0.0,25,29.5,7.3,4.7
Helsingfors Kajsaniemi,2024,1,6,13:00,-17.0,-13.9,Klart (0/8),1020.4,77.3,0.0,25,32.1,7.2,4.2
Helsingfors Kajsaniemi,2024,1,6,14:00,-17.1,-13.6,Klart (0/8),1021.1,75.1,0.0,25,29.2,6.3,3.7
Helsingfors Kajsaniemi,2024,1,6,15:00,-17.2,-13.8,Klart (0/8),1021.7,75.3,0.0,25,30.5,5.7,3.6
Helsingfors Kajsaniemi,2024,1,6,16:00,-17.4,-14.3,Klart (0/8),1022.7,77.7,0.0,25,27.1,5.1,3
Helsingfors Kajsaniemi,2024,1,6,17:00,-17.7,-15.0,Klart (0/8),1023.5,80.3,0.0,24.9,23.1,5.3,2.5
Helsingfors Kajsaniemi,2024,1,6,18:00,-18.0,-15.7,Klart (0/8),1024.2,82.6,0.0,24.6,20.8,5.3,2.4
Helsingfors Kajsaniemi,2024,1,6,19:00,-17.9,-15.8,Klart (0/8),1024.8,83.2,0.0,24.6,27.5,5.2,2.5
Helsingfors Kajsaniemi,2024,1,6,20:00,-18.4,-16.3,Klart (1/8),1025.7,83.7,0.0,24,11.8,3.5,1.6
Helsingfors Kajsaniemi,2024,1,6,21:00,-19.0,-16.9,Klart (0/8),1026.5,83.9,0.0,24,18.9,3.7,1.9
Helsingfors Kajsaniemi,2024,1,6,22:00,-19.4,-17.2,Klart (0/8),1026.9,82.6,0.0,24,51.6,3.5,1.9
Helsingfors Kajsaniemi,2024,1,6,23:00,-19.9,-17.8,Klart (0/8),1027.6,83.2,0.0,24,46.1,3.5,1.6
Helsingfors Kajsaniemi,2024,1,7,00:00,-20.1,-17.9,Mest klart (2/8),1028.1,83.1,0.0,24,77.4,3.2,1.7
Helsingfors Kajsaniemi,2024,1,7,01:00,-21.7,-19.5,Klart (0/8),1028.6,82.1,0.0,24,313.9,2.2,1.4
Helsingfors Kajsaniemi,2024,1,7,02:00,-22.1,-19.8,Klart (0/8),1029.1,82.3,0.0,24,253.5,2.2,1.4
Helsingfors Kajsaniemi,2024,1,7,03:00,-22.3,-20.0,Klart (0/8),1029.5,81.4,0.0,24,183,2.3,1.3
Helsingfors Kajsaniemi,2024,1,7,04:00,-22.6,-20.4,Klart (0/8),1029.7,82.2,0.0,24,341.9,2,1.5
Helsingfors Kajsaniemi,2024,1,7,05:00,-22.9,-20.6,Klart (0/8),1030.3,82.4,0.0,24,355.9,2.4,1.6
Helsingfors Kajsaniemi,2024,1,7,06:00,-23.0,-20.7,Klart (0/8),1030.7,81.9,0.0,24,20.4,2.4,1.5
Helsingfors Kajsaniemi,2024,1,7,07:00,-23.1,-20.8,Klart (0/8),1031.0,82.0,0.0,24,110.5,1.8,0.9
Helsingfors Kajsaniemi,2024,1,7,08:00,-23.2,-21.0,Klart (0/8),1031.4,81.8,0.0,24,250.1,2.2,1.5
Helsingfors Kajsaniemi,2024,1,7,09:00,-23.0,-20.8,Klart (0/8),1031.8,82.2,0.0,24,348.6,2,1.4
Helsingfors Kajsaniemi,2024,1,7,10:00,-23.4,-21.0,Klart (0/8),1032.3,81.8,0.0,24,251.4,1.3,0.9
Helsingfors Kajsaniemi,2024,1,7,11:00,-23.1,-20.9,Klart (0/8),1032.7,82.0,0.0,23.9,336,1.5,1
Helsingfors Kajsaniemi,2024,1,7,12:00,-21.4,-19.1,Klart (0/8),1033.1,81.8,0.0,23.3,331.3,1.4,1
Helsingfors Kajsaniemi,2024,1,7,13:00,-20.0,-17.7,Klart (0/8),1033.2,82.5,0.0,23,315.2,1.8,1.4
Helsingfors Kajsaniemi,2024,1,7,14:00,-19.6,-17.2,Klart (0/8),1033.3,81.6,0.0,23,-,-,-
Helsingfors Kajsaniemi,2024,1,7,15:00,-19.5,-17.2,Klart (0/8),1033.5,82.3,0.0,23,321.9,1.9,1.5
Helsingfors Kajsaniemi,2024,1,7,16:00,-19.6,-17.6,Klart (0/8),1033.8,84.5,0.0,23,311.2,1.5,1.2
Helsingfors Kajsaniemi,2024,1,7,17:00,-20.2,-18.2,Klart (0/8),1034.1,84.7,0.0,23,319.8,1.6,1.3
Helsingfors Kajsaniemi,2024,1,7,18:00,-21.0,-19.0,Klart (0/8),1034.2,83.7,0.0,23,290.7,1.2,0.9
Helsingfors Kajsaniemi,2024,1,7,19:00,-21.4,-19.4,Klart (0/8),1034.1,83.4,0.0,23,291.5,1.3,0.9
Helsingfors Kajsaniemi,2024,1,7,20:00,-21.8,-19.6,Klart (0/8),1034.1,83.0,0.0,23,300.1,1.7,0.9
Helsingfors Kajsaniemi,2024,1,7,21:00,-21.5,-19.4,Klart (0/8),1033.9,83.6,0.0,23,304.1,2.3,1.7
Helsingfors Kajsaniemi,2024,1,7,22:00,-20.5,-18.4,Klart (0/8),1033.8,83.9,0.0,23,286,2.6,1.8
Helsingfors Kajsaniemi,2024,1,7,23:00,-19.8,-17.6,Klart (0/8),1033.8,82.8,0.0,23,293.7,3.6,2.3
Helsingfors Kajsaniemi,2024,1,8,00:00,-19.5,-17.5,Molnigt (6/8),1033.6,84.6,0.0,23,295.4,3.8,2.5
Helsingfors Kajsaniemi,2024,1,8,01:00,-16.2,-14.7,Mulet (8/8),1033.0,88.9,0.0,23.3,287.3,4.1,2.9
Helsingfors Kajsaniemi,2024,1,8,02:00,-15.8,-14.1,Halv klart (5/8),1032.5,86.7,0.0,23.9,283.3,4.5,3
Helsingfors Kajsaniemi,2024,1,8,03:00,-15.1,-13.5,Molnigt (7/8),1031.9,87.3,0.0,23.1,263.9,5.1,3.4
Helsingfors Kajsaniemi,2024,1,8,04:00,-14.5,-12.8,Molnigt (6/8),1031.5,87.5,0.0,22.2,285,4.8,3
Helsingfors Kajsaniemi,2024,1,8,05:00,-13.5,-11.9,Molnigt (6/8),1030.9,88.2,0.0,22.9,286,5.7,3.8
Helsingfors Kajsaniemi,2024,1,8,06:00,-11.4,-10.0,Molnigt (7/8),1029.5,89.7,0.0,23.3,271.5,6.6,4.3
Helsingfors Kajsaniemi,2024,1,8,07:00,-9.5,-8.2,Molnigt (7/8),1028.6,90.9,0.0,23.8,265.8,7.8,4.9
Helsingfors Kajsaniemi,2024,1,8,08:00,-8.2,-6.9,Molnigt (7/8),1027.6,90.3,0.0,24,262.7,8.7,5.7
Helsingfors Kajsaniemi,2024,1,8,09:00,-7.3,-5.9,Molnigt (7/8),1026.9,89.7,0.0,24,268.7,9.2,6.1
Helsingfors Kajsaniemi,2024,1,8,10:00,-7.0,-5.4,Molnigt (7/8),1027.1,88.1,0.0,24.9,284.3,9.2,5.8
Helsingfors Kajsaniemi,2024,1,8,11:00,-7.0,-5.3,Mulet (8/8),1026.9,88.1,0.0,24.1,287.1,6.7,4.4
Helsingfors Kajsaniemi,2024,1,8,12:00,-6.7,-5.1,Molnigt (7/8),1026.4,88.3,0.0,25,277.3,7.2,4.7
Helsingfors Kajsaniemi,2024,1,8,13:00,-6.4,-4.7,Mulet (8/8),1026.4,88.0,0.0,24.7,304.4,6.4,4.1
Helsingfors Kajsaniemi,2024,1,8,14:00,-5.8,-4.2,Mulet (8/8),1026.3,88.3,0.0,24.5,309.5,6.8,4.5
Helsingfors Kajsaniemi,2024,1,8,15:00,-5.4,-3.8,Mulet (8/8),1026.1,89.0,0.0,24.6,309.7,6.8,4.2
Helsingfors Kajsaniemi,2024,1,8,16:00,-4.6,-3.4,Mulet (8/8),1026.3,91.5,0.0,24.1,317.6,7,4.7
Helsingfors Kajsaniemi,2024,1,8,17:00,-4.3,-3.2,Mulet (8/8),1026.3,91.7,0.0,24.1,322.3,7.8,5.4
Helsingfors Kajsaniemi,2024,1,8,18:00,-4.1,-3.1,Mulet (8/8),1026.5,92.1,0.0,24.4,323.9,7.4,4.7
Helsingfors Kajsaniemi,2024,1,8,19:00,-4.0,-3.1,Mulet (8/8),1026.9,93.0,0.0,24,328,7.3,4.9
Helsingfors Kajsaniemi,2024,1,8,20:00,-3.9,-3.0,Mulet (8/8),1027.0,93.7,0.0,24,323.1,6.7,4.4
Helsingfors Kajsaniemi,2024,1,8,21:00,-4.0,-3.1,Molnigt (7/8),1027.1,93.4,0.0,24,320.6,5.5,3.4
